City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Bethel,US,69.89,41.3712,-73.414,
1,Arlit,NE,88.41,18.7369,7.3853,
4,Avarua,CK,78.85,-21.2078,-159.775,
5,Rikitea,PF,74.84,-23.1203,-134.9692,
8,Noumea,NC,82.38,-22.2763,166.4572,
9,Airai,TL,71.24,-8.9266,125.4092,
10,Polovinnoye,RU,70.29,54.7914,65.9864,
12,Montes Altos,BR,76.57,-5.8333,-47.0667,
13,Tuktoyaktuk,CA,69.8,69.4541,-133.0374,
14,Port Alfred,ZA,65.35,-33.5906,26.891,
16,Korla,CN,72.77,41.7597,86.1469,
18,Teguldet,RU,62.08,57.3064,88.1667,
20,Hithadhoo,MV,83.07,-0.6,73.0833,
22,Xifeng,CN,78.17,42.7372,124.7222,
23,Jamestown,US,62.24,42.097,-79.2353,
24,Niteroi,BR,69.42,-22.8833,-43.1036,
26,Cayenne,GF,80.1,4.9333,-52.3333,
28,Iberia,US,78.12,29.9502,-91.7507,
30,Lodja,CD,67.15,-3.4833,23.4333,
32,Busselton,AU,61.12,-33.65,115.3333,
34,Kapaa,US,84.18,22.0752,-159.319,
38,Atuona,PF,79.52,-9.8,-139.0333,
43,Santa Ines,BR,72.28,-3.6667,-45.38,
46,Halifax,CA,60.42,44.6453,-63.5724,
47,Cochrane,CA,72.21,51.1834,-114.4687,
48,Georgetown,MY,84.13,5.4112,100.3354,
50,Okha,RU,67.55,53.5739,142.9478,
51,Bengkulu,ID,77.18,-3.8004,102.2655,
52,Saint Anthony,US,79.12,45.0205,-93.21799999999999,
53,Hilo,US,79.25,19.7297,-155.09,
55,Albany,US,63.18,42.6001,-73.9662,
57,Yellowknife,CA,72.12,62.456,-114.3525,
58,Sao Joao Do Paraiso,BR,60.17,-15.3136,-42.0144,
59,Caravelas,BR,68.49,-17.7125,-39.2481,
62,Nishihara,JP,85.66,26.1842,127.7558,
63,Inhambane,MZ,65.66,-23.865,35.3833,
65,Inuvik,CA,78.01,68.3499,-133.7218,
66,Sabang,ID,83.53,5.8933,95.3214,
68,East London,ZA,63.73,-33.0153,27.9116,
72,Katsuura,JP,79.23,35.1333,140.3,
74,Butaritari,KI,83.01,3.0707,172.7902,
75,Ginda,IN,64.89,30.6945,78.4932,
76,Puerto Ayora,EC,73.54,-0.7393,-90.3518,
77,Phan Thiet,VN,87.4,10.9333,108.1,
78,Ambilobe,MG,68.22,-13.2,49.05,
79,Makakilo City,US,82.56,21.3469,-158.0858,
81,Porec,HR,67.35,45.2258,13.5939,
83,Arraial Do Cabo,BR,69.24,-22.9661,-42.0278,
84,Sorong,ID,81.68,-0.8833,131.25,
85,Pringsewu,ID,80.73,-5.3582,104.9744,
88,Bontang,ID,79.68,0.1333,117.5,
89,Heihe,CN,73.98,50.2441,127.4902,
90,Mahebourg,MU,70.25,-20.4081,57.7,
91,Norman Wells,CA,71.64,65.282,-126.8329,
92,Sao Joao Da Barra,BR,67.51,-21.6403,-41.0511,
94,Mao,ES,73.96,39.8885,4.2658,
95,Saint-Philippe,RE,66.47,-21.3585,55.7679,
96,Brigantine,US,73.45,39.4101,-74.3646,
98,Corinto,GR,66.76,37.9407,22.9573,
99,Khatanga,RU,69.44,71.9667,102.5,
100,Akdepe,TM,69.89,42.0551,59.3788,
102,Lagoa,PT,68.0,39.05,-27.9833,
103,Saskylakh,RU,68.65,71.9167,114.0833,
105,Rawatsar,IN,84.27,29.2833,74.3833,
106,Mikuni,JP,73.31,36.2171,136.1519,
108,Muridke,PK,78.94,31.8025,74.2617,
109,Tanout,NE,84.69,14.9709,8.8879,
110,Madaoua,NE,83.71,14.073,5.96,
111,Lac Du Bonnet,CA,74.75,50.2536,-96.0612,
112,Bambous Virieux,MU,70.21,-20.3428,57.7575,
113,Margherita,IN,80.08,27.2833,95.6833,
114,Mlalo,TZ,66.02,-4.9333,38.9333,
115,Sala Consilina,IT,61.11,40.3912,15.5989,
116,Vaini,TO,78.96,-21.2,-175.2,
117,Dwarka,IN,84.7,22.2394,68.9678,
118,Konstantinovskiy,RU,62.31,57.8301,39.5899,
119,Rossland,CA,60.66,49.0831,-117.8022,
120,Solnechnyy,RU,82.53,50.7214,136.6319,
123,Mecca,SA,83.68,21.4267,39.8261,
